participant_id,split,turn_index,text,expected_rule_decision,is_removed_diagnostic_prompt,matched_rule_ids,review_focus_hits,sample_reason,human_review_decision,reviewer_notes
308,train,114,have you been diagnosed with depression,remove,True,mood_depression;mental_health_history,diagnosed_depression_probe,focus_pattern,,
309,train,65,how easy is it for you to get a good night's sleep,remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
310,train,135,have you ever been diagnosed with p_t_s_d,remove,True,mental_health_history,ptsd_probe,focus_pattern,,
312,train,164,how easy is it for you to get a good night's sleep,remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
315,train,117,have you ever been diagnosed with p_t_s_d,remove,True,mental_health_history,ptsd_probe,focus_pattern,,
315,train,121,how easy is it for you to get a good night's sleep,remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
316,train,149,is going to a therapist helping you,remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
318,train,70,have you ever been diagnosed with p_t_s_d,remove,True,mental_health_history,ptsd_probe,focus_pattern,,
321,dev,152,what sort of changes have you noticed since you've been going to therapy,remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
325,train,89,have you ever been diagnosed with p_t_s_d,remove,True,mental_health_history,ptsd_probe,focus_pattern,,
327,train,99,do you feel like therapy's useful,remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
331,dev,136,have you been diagnosed with depression,remove,True,mood_depression;mental_health_history,diagnosed_depression_probe,focus_pattern,,
333,train,2,i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started,remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
339,train,163,what are you like when you don't sleep well,remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
346,train,157,have you ever been diagnosed with p_t_s_d,remove,True,mental_health_history,ptsd_probe,focus_pattern,,
347,dev,96,how easy is it for you to get a good night's sleep,remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
350,dev,162,what are you like when you don't sleep well,remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
354,train,91,what are you like when you don't sleep well,remove,True,sleep_fatigue_energy,sleep_probe,focus_pattern,,
362,train,70,have you ever been diagnosed with p_t_s_d,remove,True,mental_health_history,ptsd_probe,focus_pattern,,
367,train,279,therapy_changes (what sort of changes have you noticed since you've been going to therapy),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
372,train,2,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
372,train,285,why_seek_help (what got you to seek help),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
378,train,123,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d),remove,True,mental_health_history,ptsd_probe,focus_pattern,,
384,train,173,depression_diagnosed (have you been diagnosed with depression),remove,True,mood_depression;mental_health_history,diagnosed_depression_probe,focus_pattern,,
391,train,126,depression_diagnosed (have you been diagnosed with depression),remove,True,mood_depression;mental_health_history,diagnosed_depression_probe,focus_pattern,,
393,dev,2,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
400,train,156,therapy_useful (do you feel like therapy is useful),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
417,train,144,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d),remove,True,mental_health_history,ptsd_probe,focus_pattern,,
418,train,213,therapy_useful (do you feel like therapy is useful),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
422,train,254,feel_down (do you feel down),remove,True,mood_depression,feel_down_probe,focus_pattern,,
424,train,196,therapy_going (do you still go to therapy now),remove,True,mental_health_history,therapy_history_probe,focus_pattern,,
