model,input_condition,train_rows,test_rows,dropped_empty_rows,class_weight,notes,n,positive_n,negative_n,accuracy,precision,recall,sensitivity,specificity,f1,macro_f1,auc,mcc,tn,fp,fn,tp,evaluation,fold,cv_folds
tfidf_logistic_regression,full_dialogue,151,38,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,8,30,0.7894736842105263,0.5,0.25,0.25,0.9333333333333333,0.3333333333333333,0.6041666666666666,0.7,0.2435440935235262,28,2,6,2,cv,1,5
tfidf_logistic_regression,full_dialogue,151,38,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,8,30,0.8157894736842105,0.6,0.375,0.375,0.9333333333333333,0.46153846153846156,0.6752136752136753,0.8500000000000001,0.37186399164590844,28,2,5,3,cv,2,5
tfidf_logistic_regression,full_dialogue,151,38,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.8157894736842105,0.625,0.5555555555555556,0.5555555555555556,0.896551724137931,0.5882352941176471,0.7347956131605184,0.8582375478927203,0.47147224646062774,26,3,4,5,cv,3,5
tfidf_logistic_regression,full_dialogue,151,38,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.8421052631578947,0.8,0.4444444444444444,0.4444444444444444,0.9655172413793104,0.5714285714285714,0.7373271889400921,0.7777777777777778,0.5156102614533682,28,1,5,4,cv,4,5
tfidf_logistic_regression,full_dialogue,152,37,0,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.8108108108108109,0.6,0.375,0.375,0.9310344827586207,0.46153846153846156,0.6733921815889029,0.8275862068965518,0.3685143168509711,27,2,5,3,cv,5,5
tfidf_linear_svm,full_dialogue,151,38,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,8,30,0.7631578947368421,0.0,0.0,0.0,0.9666666666666667,0.0,0.43283582089552236,0.7208333333333333,-0.08489527199560178,29,1,8,0,cv,1,5
tfidf_linear_svm,full_dialogue,151,38,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,8,30,0.7894736842105263,0.0,0.0,0.0,1.0,0.0,0.4411764705882353,0.8541666666666667,0.0,30,0,8,0,cv,2,5
tfidf_linear_svm,full_dialogue,151,38,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.7894736842105263,0.6,0.3333333333333333,0.3333333333333333,0.9310344827586207,0.42857142857142855,0.6497695852534562,0.8773946360153256,0.3324963368250692,27,2,6,3,cv,3,5
tfidf_linear_svm,full_dialogue,151,38,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.7894736842105263,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.9655172413793104,0.3333333333333333,0.6041666666666666,0.8084291187739464,0.2959928203195395,28,1,7,2,cv,4,5
tfidf_linear_svm,full_dialogue,152,37,0,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.7837837837837838,0.5,0.125,0.125,0.9655172413793104,0.2,0.5375,0.896551724137931,0.16478826540076544,28,1,7,1,cv,5,5
tfidf_logistic_regression,interviewer_cleaned,148,38,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.631578947368421,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.6206896551724138,0.46153846153846156,0.5907692307692307,0.8045977011494252,0.2457009873327281,18,11,3,6,cv,1,5
tfidf_logistic_regression,interviewer_cleaned,149,37,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.7297297297297297,0.42857142857142855,0.75,0.75,0.7241379310344828,0.5454545454545454,0.6765734265734266,0.814655172413793,0.40245817812041473,21,8,2,6,cv,2,5
tfidf_logistic_regression,interviewer_cleaned,149,37,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.6486486486486487,0.3076923076923077,0.5,0.5,0.6896551724137931,0.38095238095238093,0.5678346810422282,0.6982758620689655,0.16354278419876447,20,9,4,4,cv,3,5
tfidf_logistic_regression,interviewer_cleaned,149,37,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.7837837837837838,0.5,0.625,0.625,0.8275862068965517,0.5555555555555556,0.7063492063492063,0.875,0.4195303887997111,24,5,3,5,cv,4,5
tfidf_logistic_regression,interviewer_cleaned,149,37,3,balanced,"5-fold CV TF-IDF max_features=50000, min_df=2, ngram_range=(1, 2)",37,9,28,0.7837837837837838,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8571428571428571,0.5555555555555556,0.7063492063492063,0.8809523809523809,0.4126984126984127,24,4,4,5,cv,5,5
tfidf_linear_svm,interviewer_cleaned,148,38,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",38,9,29,0.8157894736842105,0.6,0.6666666666666666,0.6666666666666666,0.8620689655172413,0.631578947368421,0.7543859649122806,0.8850574712643677,0.5104812758612466,25,4,3,6,cv,1,5
tfidf_linear_svm,interviewer_cleaned,149,37,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.8108108108108109,0.5454545454545454,0.75,0.75,0.8275862068965517,0.631578947368421,0.7521531100478469,0.8103448275862069,0.5202089135345165,24,5,2,6,cv,2,5
tfidf_linear_svm,interviewer_cleaned,149,37,3,balanced,"5-fold CV TF-IDF + LinearSVC max_features=50000, min_df=2, ngram_range=(1, 2)",37,8,29,0.7567567567567568,0.42857142857142855,0.375,0.375,0.8620689655172413,0.4,0.623728813559322,0.7327586206896552,0.24917762935063276,25,4,5,3,cv,3,5
