template_id,normalized_template_text
T001,do you feel down
T002,do you feel like therapy is useful
T003,do you feel like therapy's useful
T004,do you still go to therapy now
T005,have you been diagnosed with depression
T006,have you ever been diagnosed with p t s d
T007,hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this
T008,how easy is it for you to get a good night sleep
T009,how easy is it for you to get a good night's sleep
T010,how has seeing a therapist affected you
T011,how long ago were you diagnosed
T012,i'm not a therapist but i'm here to learn about people and would love to learn about you
T013,i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started
T014,is going to a therapist helping you
T015,what are some things that usually put you in a good mood
T016,what are you like when you don't sleep well
T017,what sort of changes have you noticed since you've been going to therapy
