file_path,file_sha256,material_type,n_participants,n_spans,n_raters,has_model_output,has_human_output,has_second_human_rater,has_domain_labels,has_span_validity_labels,has_exact_quote_alignment,can_compute_human_machine_agreement,can_compute_interrater_agreement,recommended_use,limitations
project_root/processed_research/latest_usable_data_official142_20260702/04_c5_evidence_sources/c5_quotes_only_v3_gpt55_reviewed_spans_official142.csv,794d7b43ebd95d57ac4a90a4217953a9bea27e98ff91b13c31b0a06f9aa48c7e,C5 model reviewed spans,141,1137,0,true,false,false,true,false,true,false,false,canonical model span source for future human validation,no independent human span or domain labels
worktree/analysis_v2/12_submission_audit/c5_traceability_audit_no_quotes.csv,2a11e33d8996c98b6ba3f40ca406e67188ed77b8f09117d1bde4490e3649b186,C5 source traceability audit,141,1137,0,true,false,false,true,false,true,false,false,verify model quote hashes and source locations,manual correction status is post-hoc and no reviewer identity is recorded
worktree/analysis_v2/12_submission_audit/c5_traceability_summary.json,256fb807c8bd8ab497adc63fed22b280bccca9bb10cad56f27d1331b7400e47b,C5 traceability summary,142,1137,0,true,false,false,true,false,true,false,false,document C5 audit availability and data gap,explicitly reports interrater reliability unavailable and blinding not demonstrated
worktree/analysis_v2/01_inputs/c5_reviewed_symptom_evidence.csv,519d08c3063f847a9cb05723652f336831b6589c95c08a0da2781a09eab510a8,C5 participant-level reviewed evidence text,142,0,0,true,false,false,false,false,false,false,false,participant-level frozen C5 input for existing models,contains no span-level human labels
worktree/analysis_v2/04_c5_controls/domain_count/input.csv,7687c70d3770b7e8902900ec3c117d8a679fc6d718abf1c2a7f8d1361b07ae33,C5 D-P domain counts,142,0,0,true,false,false,true,false,false,false,false,participant-derived D-P control block,domain values are model-derived rather than independently human-coded
worktree/analysis_v2/04_c5_controls/domain_presence/input.csv,89945c35a05def98e41fe8ebfbfb87f4016856333e2e990d869d97579aa5948f,C5 D-P domain presence,142,0,0,true,false,false,true,false,false,false,false,descriptive domain presence audit,not a human reference matrix
project_root/processed_research/c5_outputs/c5_quotes_only_v3_gpt55_reviewed_spans.csv,981bc02bca9fb9b8bd8bbd5932808051d4b4aba19f94f97dfd4a02fd33f17f72,historical C5 reviewed spans,188,1535,0,true,false,false,true,false,true,false,false,provenance comparison only,historical 189-row package and not the official-142 canonical source
project_root/processed_research/c5_outputs/c5_quotes_only_v3_gpt55_reviewed_manual_review_application_audit.csv,81bd5f3ab554d1958885f18b8cc826008fbfd36deed1eb1b35fa465d718aa823,C5 post-hoc manual correction audit,39,62,0,true,false,false,false,false,true,false,false,document source correction provenance,manual messages are not independent validity/domain judgments
project_root/processed_research/c5_outputs/c5_quotes_only_v3_gpt55_reviewed_manual_review_application_summary.md,1b7f0d688516b76ae66af2846462e22732cd3f2a60e284cb7dddf8bd86de238e,C5 post-hoc manual correction summary,189,1535,0,true,false,false,false,false,true,false,false,explain review application rules,does not identify independent raters or provide human labels
project_root/processed_research/latest_usable_data_official142_20260626/06_c5_mimo_repeatability/participant_level_agreement.csv,879dc0b40dd7b27319ab707768a7f4d78b6ad24aadea63e766ba884e5bb32d4a,LLM extraction repeatability summary,24,0,0,true,false,false,true,false,true,false,false,report model run-to-run repeatability,not human-machine agreement
project_root/processed_research/latest_usable_data_official142_20260626/06_c5_mimo_repeatability/run1/c5_mimo_v25pro_repeat1_spans.csv,bc73eea1d1ed67bedad94359eee1c45e6cc63fbbf4d8b52183936590e796385c,LLM repeatability model spans,23,130,0,true,false,false,true,false,true,false,false,model-run comparison input,no human labels
project_root/processed_research/latest_usable_data_official142_20260626/06_c5_mimo_repeatability/run2/c5_mimo_v25pro_repeat2_spans.csv,30167f6926ff306c8b29c89e75306b6e03150effa60bf54b25a5e092b5cb359b,LLM repeatability model spans,24,127,0,true,false,false,true,false,true,false,false,model-run comparison input,no human labels
worktree/analysis_v2/10_source_importance/13_mismatch_error_attribution/coding_sheet_two_human_raters.csv,fa4b15a08d121b7d64e2863e236fc9414325b93646300302a1cda289097a2537,error attribution human-human coding,14,0,2,false,true,true,false,false,false,false,true,report error-attribution interrater agreement,raters coded R1-R6 error causes rather than C5 evidence validity or domain labels
worktree/analysis_v2/10_source_importance/13_mismatch_error_attribution/attribution_analysis_summary.md,b93cc4f45b63afbf288246eebba2ff922ad6fde390a3ac44e228c9549199b302,error attribution agreement summary,14,0,2,false,true,true,false,false,false,false,true,document 14-case error attribution agreement,not evidence extraction agreement
worktree/analysis_v2/10_source_importance/13_mismatch_error_attribution/codebook.md,453519ed211bbd40b9edf5892c11ed77e24bb1aa50d889163db1ce4d564aab04,error attribution codebook,14,0,2,false,true,true,false,false,false,false,true,define the two-rater error-attribution task,does not define C5 span or domain validation
